Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0x10fcae0517aca0076c46c90022386178910bef0069acf03cb1606959551abb3b,2022-08-17,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6,Bug Bounty SG,Bug Bounty,-250000.0,-250059.71,USDC,1
0xba3f53fd1ef6beb18c7952c59fc507dc0e6685ce9a30e7a4af264a61a86ba036,2022-08-17,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x536013c57daf01d78e8a70cad1b1abada9411819,IRL SG,IRL,-1000.0,-15768.84,ENS,1
0x8b1db79238093b9808236550c3dd7c20f482e519399cc4b9c9bef4dc7a421448,2022-08-17,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xe8929029ea54113da91cdb8c9c1ba297cf803838,Translators SG,Translators,-2.0,-3668.08,ETH,1
0x8b1db79238093b9808236550c3dd7c20f482e519399cc4b9c9bef4dc7a421448,2022-08-17,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xe8929029ea54113da91cdb8c9c1ba297cf803838,Translators SG,Translators,-15000.0,-15003.58,USDC,1
0x8b1db79238093b9808236550c3dd7c20f482e519399cc4b9c9bef4dc7a421448,2022-08-17,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xe8929029ea54113da91cdb8c9c1ba297cf803838,Translators SG,Translators,-1000.0,-15768.84,ENS,1
0xba3f53fd1ef6beb18c7952c59fc507dc0e6685ce9a30e7a4af264a61a86ba036,2022-08-17,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x536013c57daf01d78e8a70cad1b1abada9411819,IRL SG,IRL,-50000.0,-50011.94,USDC,1
0x6961d431f87fb4bcee0dbaf39efea69c21eb60b9f2a94d5cbfd6bfcc3f15ecec,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x6a016548310076285668e2378df70bd545396b5a,Builders SG,Builders,-20.0,-33295.2,ETH,1
0x4d54b17ebfff8b077dfd914fbce6d4da1fa15ac3b3dc639854535ff226fb84f0,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x9b9c249be04dd433c7e8fbbf5e61e6741b89966d,Hackathons SG ,Hackathons,-10.0,-16647.6,ETH,1
0xd1809319fa2aadb6884d723f80b8be6763ea9345834c086ea7cc41e3e240b317,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x593a50cf05359bc88474d86b06ec6e1c1a2a899f,Websites SG,Websites,-5.0,-8323.8,ETH,1
0xd1809319fa2aadb6884d723f80b8be6763ea9345834c086ea7cc41e3e240b317,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x593a50cf05359bc88474d86b06ec6e1c1a2a899f,Websites SG,Websites,-500.0,-6814.87,ENS,1
0x4d54b17ebfff8b077dfd914fbce6d4da1fa15ac3b3dc639854535ff226fb84f0,2022-08-23,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x9b9c249be04dd433c7e8fbbf5e61e6741b89966d,Hackathons SG ,Hackathons,-190000.0,-189963.64,USDC,1
