Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Quarter
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x3870e55efde6d1dabc3e1c16e5444d0d8952d324,pabl0cks.eth,PG Small Grants,0.25,877.735,ETH,1,2024Q2
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x97e5552f5ba70fd4b6a537c2a24fc22d7278ccaf,iviangita.eth,PG Small Grants,0.25,877.735,ETH,1,2024Q2
0x831eea18a54b911ea8a41172ff30da923a8a0e297fb43877315f379d8d3cab89,2024-05-21,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x324d62eea625a84e04940a560564d8882ff5b05e,Sponsorship SG,Sponsorship,16000.0,16000.0,USDC,1,2024Q2
Interquarter,2024-06-30,Metagov,Metagov,Metagov,Metagov,Metagov,Metagov,14951.13313777079,195997.9642741303,ENS,1,2024Q2
Interquarter,2024-06-30,Metagov,Metagov,Metagov,Metagov,Metagov,Metagov,83.68802789684162,41597.2984616484,ETH,1,2024Q2
Interquarter,2024-06-30,Metagov,Metagov,Metagov,Metagov,Metagov,Metagov,146196.3277710001,146800.35777100013,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xaa7a0fff587b5b75bf8c86f838ea74786e0c4930,limes.eth,Salaries,5500.0,5500.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xa21875a467b43b63af15a712c3627a70798588fc,5pence.eth,Salaries,5500.0,5500.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff,slobo.eth,Salaries,6500.0,6500.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb1c376b6a13fc92009b4b512c46a872c62770ab0,daemon.eth,Salaries,3000.0,3000.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xaa7a0fff587b5b75bf8c86f838ea74786e0c4930,limes.eth,Salaries,4000.0,4000.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xea5c280f4328493b95962d5a0321d5f60cdff38c,avsa.eth,Salaries,4000.0,4000.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211,coltron.eth,Salaries,4500.0,4500.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,simona.eth,Salaries,4500.0,4500.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x1d921dff757610fbdb0073479e12c0a07d382677,vegayp.eth,Salaries,4500.0,4500.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x80ffe5f0f3e38cbd31e6f00b9423fb93bbb1a57d,184.eth,Salaries,3000.0,3000.0,USDC,1,2024Q2
0x320ffaf290ef14d3519ec0fe71dde0c953fc001a5974609b43da25bf8555f2ba,2024-04-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x60dbf50076206f60bcc2edf9295f5734561b8d77,estmcmxci.eth,Salaries,4000.0,4000.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xa21875a467b43b63af15a712c3627a70798588fc,5pence.eth,Salaries,5500.0,5500.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb1c376b6a13fc92009b4b512c46a872c62770ab0,daemon.eth,Salaries,3000.0,3000.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xaa7a0fff587b5b75bf8c86f838ea74786e0c4930,limes.eth,Salaries,4000.0,4000.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x80ffe5f0f3e38cbd31e6f00b9423fb93bbb1a57d,184.eth,Salaries,3000.0,3000.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xea5c280f4328493b95962d5a0321d5f60cdff38c,avsa.eth,Salaries,4000.0,4000.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x60dbf50076206f60bcc2edf9295f5734561b8d77,estmcmxci.eth,Salaries,4000.0,4000.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,simona.eth,Salaries,4500.0,4500.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xaa7a0fff587b5b75bf8c86f838ea74786e0c4930,limes.eth,Salaries,5500.0,5500.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x1d921dff757610fbdb0073479e12c0a07d382677,vegayp.eth,Salaries,4500.0,4500.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211,coltron.eth,Salaries,4500.0,4500.0,USDC,1,2024Q2
0x19908e5924d620b997cf22c26340f0e8a72180609873897f3a154159550e0971,2024-05-31,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff,slobo.eth,Salaries,6500.0,6500.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x80ffe5f0f3e38cbd31e6f00b9423fb93bbb1a57d,184.eth,Salaries,3000.0,3000.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xaa7a0fff587b5b75bf8c86f838ea74786e0c4930,limes.eth,Salaries,4000.0,4000.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211,coltron.eth,Salaries,4500.0,4500.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xa21875a467b43b63af15a712c3627a70798588fc,5pence.eth,Salaries,5500.0,5500.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb1c376b6a13fc92009b4b512c46a872c62770ab0,daemon.eth,Salaries,3000.0,3000.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff,slobo.eth,Salaries,6500.0,6500.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,simona.eth,Salaries,4500.0,4500.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x1d921dff757610fbdb0073479e12c0a07d382677,vegayp.eth,Salaries,4500.0,4500.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xaa7a0fff587b5b75bf8c86f838ea74786e0c4930,limes.eth,Salaries,5500.0,5500.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x60dbf50076206f60bcc2edf9295f5734561b8d77,estmcmxci.eth,Salaries,4000.0,4000.0,USDC,1,2024Q2
0xf3eeab63f0761599a40a070967eca2f15bdd3f90e5a521885614dfe759ce4292,2024-06-30,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xea5c280f4328493b95962d5a0321d5f60cdff38c,avsa.eth,Salaries,4000.0,4000.0,USDC,1,2024Q2
0xe38f1714c7310a17c0088d929a10d5e90cf18943e4159d69a078d67e7c977a23,2024-05-18,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xbfac54d6f255aef6e459656944d466174464fcbf,Lemma,DAO Bylaws,2500.0,2500.0,USDC,1,2024Q2
0xe236d5dcdb776423ba2ab4a5d337e2a162ef098b473fddabfc40bb4047a3eff6,2024-06-07,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x3aae10803fd40005a6132e6b9f5cd6ac0657bf60,Blockful,DAO Tooling,2405.0,2405.0,USDC,1,2024Q2
0x4fce697c14b1e1310bfa2716fdffa315329ca59c13236ee39bb4f8a04255f557,2024-06-05,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x000ee9a6bcec9aadcc883bd52b2c9a75fb098991,Blockful,AI,1000.0,1000.0,USDC,1,2024Q2
0xec60569895b4c6c89cee157e663487681c194e766696cc43103baf6b1ab6191b,2024-06-05,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xd48fbaf788ee2831086f074c208cd90269ead050,daveytea.eth,AI,1000.0,1000.0,USDC,1,2024Q2
Interquarter,2024-06-30,Providers,Providers,Providers,Providers,Providers,Providers,15615.765206999844,15615.765206999844,USDC,1,2024Q2
0x83ab17841c3d73ca5b4176079ba22915c707d7f7501e6affe2cc7d166a631101,2024-05-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x1d65c6d3ad39d454ea8f682c49ae7744706ea96d,Providers,Providers,493150.684931,493150.684931,USDC,1,2024Q2
Stream,2024-04-30,Providers,Providers,Providers,Wildcard,Wildcard,Stream,16438.350000000002,16438.350000000002,USDC,1,2024Q2
Stream,2024-04-30,Providers,Providers,Providers,Unruggable,Unruggable,Stream,32876.700000000004,32876.700000000004,USDC,1,2024Q2
Stream,2024-04-30,Providers,Providers,Providers,Unicorn,Unicorn,Stream,16438.350000000002,16438.350000000002,USDC,1,2024Q2
Stream,2024-04-30,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,57534.225,57534.225,USDC,1,2024Q2
Stream,2024-04-30,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,41095.875,41095.875,USDC,1,2024Q2
Stream,2024-04-30,Providers,Providers,Providers,Namehash,Namehash,Stream,49315.05,49315.05,USDC,1,2024Q2
Stream,2024-04-30,Providers,Providers,Providers,EFP,EFP,Stream,41095.875,41095.875,USDC,1,2024Q2
Stream,2024-04-30,Providers,Providers,Providers,Blockful,Blockful,Stream,24657.525,24657.525,USDC,1,2024Q2
Stream,2024-04-30,Providers,Providers,Providers,Namespace,Namespace,Stream,16438.350000000002,16438.350000000002,USDC,1,2024Q2
Stream,2024-05-31,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,59452.032499999994,59452.032499999994,USDC,1,2024Q2
Stream,2024-05-31,Providers,Providers,Providers,Unruggable,Unruggable,Stream,33972.590000000004,33972.590000000004,USDC,1,2024Q2
Stream,2024-05-31,Providers,Providers,Providers,Unicorn,Unicorn,Stream,16986.295000000002,16986.295000000002,USDC,1,2024Q2
Stream,2024-05-31,Providers,Providers,Providers,Wildcard,Wildcard,Stream,16986.295000000002,16986.295000000002,USDC,1,2024Q2
Stream,2024-05-31,Providers,Providers,Providers,Namespace,Namespace,Stream,16986.295000000002,16986.295000000002,USDC,1,2024Q2
